sAllTiles,0,0,32,32,32,32,0,1,1,4294967295
sAllTiles,0,32,32,32,32,32,0,1,1,4294967295
sAllTiles,0,64,32,32,32,32,0,1,1,4294967295
sAllTiles,0,96,32,32,32,32,0,1,1,4294967295
sAllTiles,0,128,32,32,32,32,0,1,1,4294967295
sAllTiles,0,160,32,32,32,32,0,1,1,4294967295
sAllTiles,0,192,32,32,32,32,0,1,1,4294967295
sAllTiles,0,224,32,32,32,32,0,1,1,4294967295
sAllTiles,0,256,32,32,32,32,0,1,1,4294967295
sAllTiles,0,288,32,32,32,32,0,1,1,4294967295
sAllTiles,0,320,32,32,32,32,0,1,1,4294967295
sAllTiles,0,352,32,32,32,32,0,1,1,4294967295
sAllTiles,0,384,32,32,32,32,0,1,1,4294967295
sAllTiles,0,416,32,32,32,32,0,1,1,4294967295
sAllTiles,0,448,32,32,32,32,0,1,1,4294967295
sAllTiles,0,480,32,32,32,32,0,1,1,4294967295
sAllTiles,0,512,32,32,32,32,0,1,1,4294967295
sAllTiles,0,544,32,32,32,32,0,1,1,4294967295
sAllTiles,0,576,32,32,32,32,0,1,1,4294967295
sAllTiles,768,0,32,32,32,32,0,1,1,4294967295
sAllTiles,768,32,32,32,32,32,0,1,1,4294967295
sAllTiles,768,64,32,32,32,32,0,1,1,4294967295
sAllTiles,768,96,32,32,32,32,0,1,1,4294967295
sAllTiles,768,128,32,32,32,32,0,1,1,4294967295
sAllTiles,768,160,32,32,32,32,0,1,1,4294967295
sAllTiles,768,192,32,32,32,32,0,1,1,4294967295
sAllTiles,768,224,32,32,32,32,0,1,1,4294967295
sAllTiles,768,256,32,32,32,32,0,1,1,4294967295
sAllTiles,768,288,32,32,32,32,0,1,1,4294967295
sAllTiles,768,320,32,32,32,32,0,1,1,4294967295
sAllTiles,768,352,32,32,32,32,0,1,1,4294967295
sAllTiles,768,384,32,32,32,32,0,1,1,4294967295
sAllTiles,768,416,32,32,32,32,0,1,1,4294967295
sAllTiles,768,448,32,32,32,32,0,1,1,4294967295
sAllTiles,768,480,32,32,32,32,0,1,1,4294967295
sAllTiles,768,512,32,32,32,32,0,1,1,4294967295
sAllTiles,768,544,32,32,32,32,0,1,1,4294967295
sAllTiles,768,576,32,32,32,32,0,1,1,4294967295
